"FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","STATE_NUMERIC","COUNTY_NAME","COUNTY_NUMERIC","PRIMARY_LAT_DMS","PRIM_LONG_DMS","PRIM_LAT_DEC","PRIM_LONG_DEC","SOURCE_LAT_DMS","SOURCE_LONG_DMS","SOURCE_LAT_DEC","SOURCE_LONG_DEC","ELEV_IN_M","ELEV_IN_FT","MAP_NAME","DATE_CREATED","DATE_EDITED","Town","Address"
990292,"Moss Hill School","School","NC",37,"Lenoir",107,"351143N","0774510W",35.1951633,-77.7527543,NA,NA,NA,NA,33,108,"Seven Springs","6/17/1980","","Kinston","6040 NC-55, Kinston, NC 28504, USA"
990304,"Moulton","Populated Place","NC",37,"Franklin",69,"361018N","0781508W",36.1715384,-78.2522159,NA,NA,NA,NA,123,404,"Ingleside","6/17/1980","","Louisburg","1567 Duke Valentine Wynne Rd, Louisburg, NC 27549, USA"
990305,"Mount Adar Church","Church","NC",37,"Orange",135,"361219N","0791354W",36.2054155,-79.2316843,NA,NA,NA,NA,215,705,"Cedar Grove","6/17/1980","","Mebane","7503 NC-49, Mebane, NC 27302, USA"
990311,"Mount Ariel Church","Church","NC",37,"Harnett",85,"352220N","0785213W",35.3721043,-78.8702992,NA,NA,NA,NA,64,210,"Bunnlevel","6/17/1980","","Lillington","3950 Nc 27 W, Lillington, NC 27546, USA"
990312,"Mount Auburn Church","Church","NC",37,"Warren",185,"363143N","0781730W",36.5284771,-78.2916626,NA,NA,NA,NA,113,371,"John H Kerr Dam","6/17/1980","","Manson","Kimball Point Rd, Manson, NC 27553, USA"
990313,"Mount Auburn School","School","NC",37,"Wake",183,"354131N","0783233W",35.6918202,-78.5425034,NA,NA,NA,NA,100,328,"Garner","6/17/1980","","Raleigh","2425 E Garner Rd, Raleigh, NC 27610, USA"
990314,"Mount Beaula Church","Church","NC",37,"Richmond",153,"345548N","0794751W",34.9298759,-79.7975574,NA,NA,NA,NA,66,217,"Rockingham","6/17/1980","","Rockingham","153 Yates St, Rockingham, NC 28379, USA"
990319,"Mount Bethel Church","Church","NC",37,"Wake",183,"355925N","0784022W",35.9901479,-78.6727814,NA,NA,NA,NA,124,407,"Bayleaf","6/17/1980","","Wake Forest","12502-12508 Ghoston Rd, Wake Forest, NC 27587, USA"
990321,"Mount Bethel Church","Church","NC",37,"Durham",63,"360230N","0785725W",36.0415315,-78.9569534,NA,NA,NA,NA,156,512,"Northwest Durham","6/17/1980","","Durham","3541 Rose of Sharon Rd, Durham, NC 27712, USA"
990323,"Mount Bethel Church","Church","NC",37,"Warren",185,"361515N","0775856W",36.2540395,-77.9822093,NA,NA,NA,NA,96,315,"Hollister","6/17/1980","","Warrenton","Richardson Rd, Warrenton, NC 27589, USA"
990326,"Mount Calvary Church","Church","NC",37,"Columbus",47,"342631N","0784715W",34.4418356,-78.7875206,NA,NA,NA,NA,31,102,"Chadbourn NE","6/17/1980","","Clarkton","86 Mt Calvary Rd, Clarkton, NC 28433, USA"
990327,"Mount Calvary Church","Church","NC",37,"Duplin",61,"345625N","0780416W",34.9401669,-78.0710999,NA,NA,NA,NA,44,144,"Warsaw South","6/17/1980","","Warsaw","1815 US-117, Warsaw, NC 28398, USA"
990332,"Mount Calvary Church","Church","NC",37,"Greene",79,"353247N","0774911W",35.5462711,-77.8197028,NA,NA,NA,NA,36,118,"Stantonsburg","6/17/1980","","Stantonsburg","7439-8211 State Rd 1225, Stantonsburg, NC 27883, USA"
990333,"Mount Calvary Church","Church","NC",37,"Greene",79,"353503N","0774644W",35.5840484,-77.7788679,NA,NA,NA,NA,18,59,"Stantonsburg","6/17/1980","","Stantonsburg","2760 Sand Pit Rd, Walstonburg, NC 27888, USA"
990335,"Mount Calvary Church","Church","NC",37,"Wake",183,"355342N","0782842W",35.8948737,-78.4783335,NA,NA,NA,NA,99,325,"Rolesville","6/17/1980","","Wake Forest","4600-4698 Running Deer Dr, Wake Forest, NC 27587, USA"
990337,"Mount Calvary Church","Church","NC",37,"Halifax",83,"360813N","0773408W",36.1368213,-77.5688621,NA,NA,NA,NA,26,85,"Dawson Crossroads","6/17/1980","","Enfield","6734 13 Bridges Rd, Enfield, NC 27823, USA"
