name,address,city,state,zip_code,program_code,lat,lng,fips_county,GoogleLat,GoogleLon,GoogleCounty,GoogleZip,GoogleZip+4,zipmatch,CountyMatch,fips_county_name
Brigade Boys and Girl's Club,2759 Vance Street,Wilmington,NC,28412,AFTER SCH,34.188488,-77.940257,37129,34.1887203,-77.9392652,New Hanover,28412,6252,TRUE,TRUE,
Brigade Boys & Girls Club @ Riley's Creek Baptist Church,19845 NC Hwy 210,Rocky Point,NC,28457,AFTER SCH,34.407271,-78.748026,37047,34.434875,-77.980492,Pender,28457,9055,TRUE,FALSE,Columbus
Brigade Boys & Girls Club @ Mission Baptist Church,607 S Walker St,Burgaw,NC,28425,AFTER SCH,34.038883,-78.065441,37019,34.54513,-77.918541,Pender,28425,5005,TRUE,FALSE,Brunswick
Brigade Boys & Girls Club @ Hampstead Baptist Church,67 Factory Rd,Hampstead,NC,28443,AFTER SCH,34.381977,-77.731729,37141,34.367288,-77.709298,Pender,28443,8242,TRUE,TRUE,
Helping Hands/St Stanislaus Ch,4849 Castle Hayne Road,Castle Hayne,NC,28429,FOODPANTRY,34.340567,-77.906922,37129,34.3418665,-77.906299,New Hanover,28429,6406,TRUE,TRUE,
BATH,2237 Castle Hayne Road,Wilmington,NC,28401,FOODPANTRY,34.282061,-77.922913,37129,34.282235,-77.923598,New Hanover,28401,2773,TRUE,TRUE,
St. Peter The Fisherman Church,314 S. Carolina Avenue,Wilmington,NC,28401,SOUP KITCH,33.916224,-78.261785,37019,34.2087256,-77.9462261,New Hanover,28401,6533,TRUE,FALSE,Brunswick
Wilmington Branch TEFAP,1314 Marstellar Street,Wilmington,NC,28401,FOODPANTRY,34.221493,-77.930086,37129,34.2208346,-77.9301047,New Hanover,28401,,TRUE,TRUE,
Pender County Christian,102 E. Wilmington Street,Burgaw,NC,28425,FOODPANTRY,34.551696,-77.925371,37141,34.5515225,-77.9263903,Pender,28425,,TRUE,TRUE,
Good Shepherd Center,811 Martin Street,Wilmington,NC,28403,SHELTER,34.222176,-77.887524,37129,34.218841,-77.93661,New Hanover,28401,7825,FALSE,TRUE,
Good Shepherd Center,811 Martin Street,Wilmington,NC,28401,SOUP KITCH,34.218513,-77.937167,37129,34.218841,-77.93661,New Hanover,28401,7825,TRUE,TRUE,
Hobgood Citizens Group,401 Beech St.,Hobgood,NC,27886,FOODPANTRY,36.060492,-77.361797,37083,36.0257197,-77.397165,Halifax,27843,9638,FALSE,TRUE,
Interact,confidential,Raleigh,NC,NA,SHELTER,NA,NA,NA,,,,,,FALSE,,
Christians United Outreach Ctr,2885 Lee Avenue,Sanford,NC,27330,FOODPANTRY,35.456744,-79.152215,37105,35.450551,-79.144304,Lee,27332,6205,FALSE,TRUE,
Eagle Springs Baptist Church,460 Eagle Springs Road,Eagle Springs,NC,27242,FOODPANTRY,35.290984,-79.648942,37125,35.291355,-79.64906,Moore,27242,,TRUE,TRUE,
Washington Chapel Missionary,347 Bell Fork Road,Jacksonville,NC,28540,FOODPANTRY,34.75902,-77.398065,37133,34.75939,-77.397021,Onslow,28540,7007,TRUE,TRUE,
FoodLink Test Agency,3808 Tarheel Drive,Raleigh,NC,27609,OTHER,35.831161,-78.607644,37183,35.8314385,-78.607163,Wake,27609,7521,TRUE,TRUE,
First Cosmopolitan MBC,1515 Cross Link Rd,Raleigh,NC,27610,FOODPANTRY,35.752012,-78.616815,37183,35.7530649,-78.6166194,Wake,27610,4909,TRUE,TRUE,
Kingdom Ministry,4922 Windy Hill Drive Ste. A,Raleigh,NC,27611,OTHER,35.850493,-78.607718,37183,35.851008,-78.607094,Wake,27609,5196,FALSE,TRUE,
An Elegant Affair,101 South Arendell Ave,Zebulon,NC,27591,OTHER,35.783563,-78.363166,37183,35.8212715,-78.3125975,Wake,27597,,FALSE,TRUE,
Health First Community,2949 New Bern Ave. Ste 112 C,Raleigh,NC,27610,FOODPANTRY,35.78615,-78.589166,37183,35.7861578,-78.5902263,Wake,27610,,TRUE,TRUE,
Greater Cary Christian,2825 Jones Franklin Rd.,Raleigh,NC,27606,FOODPANTRY,35.74514,-78.737872,37183,35.7452206,-78.7378588,Wake,27606,,TRUE,TRUE,
Kings Park Church,1305 Odyssey Drive,Durham,NC,27713,FOODPANTRY,35.928747,-78.894759,37063,35.9310713,-78.8931825,Durham,27713,1705,TRUE,TRUE,
Housing For New Hope,501 E. Carver St.,Durham,NC,27704,GROUP HOME,36.04274,-78.89253,37063,36.0445368,-78.8921491,Durham,27704,,TRUE,TRUE,
Fidelity Baptist Church,627 Summit Rd.,Littleton,NC,27850,FOODPANTRY,36.454067,-77.82367,37083,36.45343,-77.824188,Halifax,27850,,TRUE,TRUE,
Harrison Family YMCA,1000 Independence Drive,Rocky Mount,NC,27804,AFTER SCH,35.97133,-77.807486,37127,35.9697766,-77.7971352,Nash,27804,1903,TRUE,TRUE,
Make a Difference Food Pantry,3518 U.S. 13,Goldsboro,NC,27530,FOODPANTRY,35.334164,-78.033895,37191,35.4292845,-77.8799572,Wayne,27534,,FALSE,TRUE,
Changing Hearts Deliverance,102 Holt's Pond Road,Princeton,NC,27569,FOODPANTRY,35.464658,-78.164786,37101,35.4645978,-78.1648432,Johnston,27569,7207,TRUE,TRUE,
Help and Hope Univeral,3500 Westgate Drive Ste 604,Durham,NC,27707,OTHER,35.968076,-78.961424,37063,35.9649739,-78.9610125,Durham,27707,,TRUE,TRUE,
Life International,401 N. Driver St,Durham,NC,27703,FOODPANTRY,35.988867,-78.878348,37063,35.9896508,-78.8788866,Durham,27703,3007,TRUE,TRUE,
United Nations Worship Center,2100 Chapel Hill Road,Durham,NC,27707,FOODPANTRY,35.986213,-78.92849,37063,35.9861269,-78.9291173,Durham,27707,,TRUE,TRUE,
Faith In Action,605A Benson Rd,Garner,NC,27529,FOODPANTRY,35.703148,-78.612629,37183,35.7029741,-78.6121079,Wake,27529,,TRUE,TRUE,
Covenant Life Church,305 A Asheville Ave,Cary,NC,27518,FOODPANTRY,35.739329,-78.785211,37183,35.7384425,-78.7854398,Wake,27518,6667,TRUE,TRUE,
Healing With CAARE,3000 Falstaff Rd.,Raleigh,NC,27603,FOODPANTRY,35.781835,-78.589452,37183,35.7805195,-78.5864868,Wake,27610,,FALSE,TRUE,
Jesus Word Church,1321 Humphrey St,Durham,NC,27701,FOODPANTRY,35.982127,-78.887945,37063,35.9819964,-78.8877053,Durham,27701,4229,TRUE,TRUE,
Devine Worship Christian CTR,2910 Geer Street,Durham,NC,27704,FOODPANTRY,36.034922,-78.825033,37063,36.034941,-78.824135,Durham,27704,3848,TRUE,TRUE,
Just Recovery,416 Todd Street,Durham,NC,27704,REHAB,36.05286,-78.896848,37063,36.053294,-78.897826,Durham,27704,1822,TRUE,TRUE,
Sandhills UCC,321 Keyser Street,Aberdeen,NC,28315,FOODPANTRY,35.123426,-79.422434,37125,35.123573,-79.422056,Moore,28315,,TRUE,TRUE,
Victory Gospel Chapel,2720 Poole Rd,Raleigh,NC,27610,SHELTER,35.77212,-78.597654,37183,35.771623,-78.596877,Wake,27610,2824,TRUE,TRUE,
Shepherd's House,107 N. Driver Street,Durham,NC,27703,FOODPANTRY,35.985882,-78.878043,37063,35.9862546,-78.8781112,Durham,27703,,TRUE,TRUE,
Emmanuel Ethiopian Christian,4131 Western Blvd.,Raleigh,NC,27606,FOODPANTRY,35.784035,-78.694233,37183,35.783676,-78.694947,Wake,27606,1964,TRUE,TRUE,
Catholic Charities,3711 University Drive Suite B,Durham,NC,27707,FOODPANTRY,35.966744,-78.950234,37063,35.9663666,-78.9506754,Durham,27707,,TRUE,TRUE,
Hillsborough Church Of God,2412 HWY 86 South,Hillsborough,NC,27278,FOODPANTRY,36.048648,-79.079527,37135,36.047648,-79.079582,Orange,27278,,TRUE,TRUE,
Kingdom Entity Apostolic,8114 Hwy. 258 N,Farmville,NC,27699,FOODPANTRY,35.922719,-78.570121,37183,35.550575,-77.603618,Greene,27828,,FALSE,FALSE,Wake
Senior Home Care Services Inc.,1001 Hooker Road,Greenville,NC,27834,FOODPANTRY,35.587881,-77.387838,37147,35.584897,-77.386438,Pitt,27834,6312,TRUE,TRUE,
"ADLA, Inc.",612 South Breazeal Avenue,Mount Olive,NC,28365,FOODPANTRY,35.18997,-78.074971,37191,35.190295,-78.076747,Wayne,28365,2606,TRUE,TRUE,
Lakeside Lutheran Church,2427 Eaton Ferry Rd,Littleton,NC,27850,FOODPANTRY,36.532416,-77.941196,37083,36.5324605,-77.9389237,Warren,27850,,TRUE,FALSE,Halifax
New Life Fellowship Church,4717 Olivia Rd.,Olivia,NC,27332,FOODPANTRY,35.357574,-79.127782,37105,35.3575498,-79.128008,Harnett,27332,,TRUE,FALSE,Lee
Recovery Connections Community,3110 County Line Rd.,Angier,NC,27501,REHAB,35.482329,-78.650249,37101,35.483773,-78.645273,Johnston,27501,8357,TRUE,TRUE,
Open Door Community Center,1502 Nash Street NW,Wilson,NC,27893,FOODPANTRY,35.742874,-77.923435,37195,35.74298,-77.923181,Wilson,27893,1824,TRUE,TRUE,
Faith Tabernacle,64 Washington St.,Roanoke Rapids,NC,27870,FOODPANTRY,36.470456,-77.647283,37083,36.4704201,-77.6472739,Halifax,27870,2025,TRUE,TRUE,
Centennial Campus Middle,1900 Main Campus Dr.,Raleigh,NC,27606,SCHOOL,35.77135,-78.677559,37183,35.7581759,-78.6872846,Wake,27606,,TRUE,TRUE,
Love Divine Ministry INC.,318 S. Driver Street,Durham,NC,27704,FOODPANTRY,35.982793,-78.87772,37063,35.9822314,-78.8779944,Durham,27703,4264,FALSE,TRUE,
Save the Family Church,2822 Cashwell Drive #121,Goldsboro,NC,27534,FOODPANTRY,35.376695,-77.947848,37191,35.3761019,-77.9476236,Wayne,27534,,TRUE,TRUE,
Woods Chapel UAFWB Church,928 East New Hope Road,Goldsboro,NC,27534,FOODPANTRY,35.381908,-77.888955,37191,35.381327,-77.889818,Wayne,27534,7049,TRUE,TRUE,
Apex UMC,100 S. Hughes St.,Apex,NC,27502,AFTER SCH,35.729806,-78.84931,37183,35.7296376,-78.8502816,Wake,27502,1910,TRUE,TRUE,
Faith on Fire Deliverance,235 Esther Rd,West End,NC,27376,FOODPANTRY,35.239092,-79.452406,37125,35.2391434,-79.4524911,Moore,27376,8933,TRUE,TRUE,
Vaughn's Chapel MB Church,4966 S. Elm City Rd,Elm City,NC,27822,FOODPANTRY,35.786465,-77.860688,37195,35.795932,-77.862199,Wilson,27822,8113,TRUE,TRUE,
"Spreading Seeds, Inc.",3904 Airport Drive NorthWest,Wilson,NC,27896,FOODPANTRY,35.766273,-77.965915,37195,35.757963,-77.9555881,Wilson,27896,8808,TRUE,TRUE,
Paradise Outreach,908 West Star Street,Greenville,NC,27834,FOODPANTRY,35.568876,-77.442072,37147,35.5692329,-77.443166,Pitt,27834,856,TRUE,TRUE,
REACH Our Communities,605 West Noble Street,Selma,NC,27576,AFTER SCH,35.536536,-78.290156,37101,35.536614,-78.290197,Johnston,27576,2723,TRUE,TRUE,
T.A Byrd Youth Enrichment,227 Orville Street,Henderson,NC,27536,AFTER SCH,36.316956,-78.382831,37181,36.317762,-78.382079,Vance,27536,5233,TRUE,TRUE,
Friendship One Accord,16221 Zion Road,Marston,NC,28353,SOUP KITCH,34.925531,-79.447838,37153,34.925306,-79.447695,Scotland,28363,8609,FALSE,FALSE,Richmond
